name:ID(ConferenceWorkshop)
2017 IEEE International Conference on Big Data (Big Data)
2019 IEEE 15th International Scientific Conference on Informatics
ACM Computing Surveys
ANT/SEIT
Advances in Computer and Electrical Engineering
Alberto Mendelzon Workshop on Foundations of Data Management
Applied Sciences
Artificial Intelligence Applications and Innovations
BDCAT
BMC Bioinformatics
BioData Mining
BlockSW/CKG@ISWC
Brazilian Symposium on Bioinformatics
Computer
Database J. Biol. Databases Curation
EDBT/ICDT Workshops
EPJ Web of Conferences
GRADES-NDA@SIGMOD
GRADES/NDA@SIGMOD/PODS
GRADES@SIGMOD/PODS
IEEE Access
IEEE International Advance Computing Conference
IEEE International Conference on Data Engineering
IEEE International Conference on Fuzzy Systems
IEEE International Symposium on High-Performance Parallel Distributed Computing
IEEE Transactions on Knowledge and Data Engineering
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
IT Professional
International Conference on Advances in Social Networks Analysis and Mining
International Conference on Artificial Intelligence and Soft Computing
International Conference on Automated Planning and Scheduling
International Conference on Computer Information Systems and Industrial Management Applications
"International Conference on Computing, Communication and Automation"
International Conference on Conceptual Modeling
"International Conference on Control, Automation and Information Sciences"
International Conference on Data Technologies and Applications
International Conference on Data Warehousing and Knowledge Discovery
International Conference on Database Theory
International Conference on Database and Expert Systems Applications
International Conference on Enterprise Information Systems
International Conference on Extending Database Technology
International Conference on Flexible Query Answering Systems
International Conference on Information Networking
International Conference on Information Processing and Management of Uncertainty
International Conference on Information Systems Security and Privacy
International Conference on Information Technology & Systems
International Conference on Information and Knowledge Management
"International Conference on Internet of Things, Big Data and Security"
International Conference on Statistical and Scientific Database Management
International Conference on Web Engineering
International Conferences on Graph Computing
International Database Engineering and Applications Symposium
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management"
International Symposium Graph Drawing and Network Visualization
International Workshop on the Semantic Web
Journal of Artificial Intelligence Research
Journal of Database Management
Journal on Data Semantics
Knowledge Discovery and Data Mining
LOG IN
PLoS ONE
PPAA '14
Proceedings of the VLDB Endowment
SDM
SIGMOD Conference
SIGMOD record
Symposium on Advances in Databases and Information Systems
The VLDB journal
Theory of Computing Systems
Trans. GIS
Undergraduate Topics in Computer Science
Very Large Data Bases Conference
Vietnam Journal of Computer Science
Workshop on the Theory and Practice of Provenance
WorldCIST
arXiv.org
