:START_ID(Person),:END_ID(Paper)
40046694_corr,033275ccc2c7c5c38592ae893da0b5923cf90717
2216703472_corr,459cf4e6476d5e19f1bc422c162bcded54ca7f95
2044319_corr,4340043a5a43f1863e080e3fc717f863ad21b51d
1968180_corr,1a85628dd645ea86b7c146613651fdb30bb32c1d
2772109_corr,5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc
2516234_corr,59078a26c42e8609244f1c3e01f05af74a3773bf
2919642_corr,1cbbe1a129c0d1f53d8e16ca74238334372507dc
2121691833_corr,86e9b0585c8b866665de18b2744d69aefff3e16d
1403702365_corr,a20e707395132f750fa958ebc0ea629b23b57bfe
1809608_corr,d852660e15e82ae150dcde105639ba2c7d90f01f
40977242_corr,703d49a335799262e474ed8fe6044cd641a9e00a
2772109_corr,2d95c27d4ed8cfb8379164888cd79c6b239250b4
144658846_corr,93e6ba25e4c45c3f204a09b6a6b8b02bd3596091
151121638_corr,06424dcd3be195738b653d2ee4358d9974f4cb30
2064791867_corr,bcca5c7e9180c4890936343d79e812cb16cbefb6
1419556433_corr,0443c9a0fbb403d5e7d3593f5d286cb74ed0b490
2728740_corr,c858ba9bce833896b49878a6793dbb382ed83c9e
103774486_corr,f3e765ca2b8c4191759b141d2e5c42215ed9090d
2919642_corr,689c7a86d973895a14feb984b8faa3d5581038ef
1699192_corr,44ec06d911eed44ee99be61bd9ce964a824a2ed7
2271992963_corr,8afa626901e6b77b3936b8eb64df4a5a538444a0
2478931_corr,6ea38aacc779506909d425aa19114b92bb1854f8
2772109_corr,59f1df2f60280eea79d195b9c561d52a77fb24de
150349792_corr,1d0d84a1f4e8de75151d88bd152816f18109d032
31435894_corr,6e87f544017f73670c44d9d0856340a289ff9e38
2054073851_corr,659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85
49061836_corr,b8e30590ac81875a7fc4f7cfd425bd5148a72f5c
2066074494_corr,c867c372ed78e27c53feaf788e74aa7506302bbe
144245703_corr,d154d986c3a402c207c6c0e22093f2e1a878fe71
48528884_corr,2be77516f6233a9d3ebbf93b439c3658d955d2e5
52561170_corr,3876267a762615ac876df561b900aa6e564fc9b4
2335456_corr,1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30
35089024_corr,39af4070dca3221d275898c55884167bc03fe73d
9766598_corr,6e4e15ab0d55232b93e76ddecb6c969a0d18f853
36994619_corr,647d0e540627c5a903299a90d20530f8e48c18d9
1752888049_corr,13bd0e08713f0b340396634892d2c9e3c5bee548
2070105034_corr,1731458f7ac96b23bd8ffe4c1bb71295772b5566
1860924_corr,e8505f6175585713aa7b785285b3abc4113b57ef
3215556_corr,8ada773522e0cc1b1a1b36b8e5d85417794a875f
23605695_corr,4f873d5a3ab80402e206a361eeffd3b69f014db0
51229930_corr,b3b64555a641afd3c8fc2da30bbb30b0b56e0c60
46207591_corr,12b8af038d27defddc972c9bbcdf151b2594ee69
144392618_corr,d47686fd5ce403fe962c80b651c8b130061a5d73
2082595527_corr,e0fdd11f8ffe065081e2e4694a8855a766abe31a
40996948_corr,620f78ee4a52c3f61e5600d5c354b2234d8f7858
40895294_corr,006bd41c4a52c64445afdbc67182715a476e09c8
1410733743_corr,f0dde44d5836ac8ae1d8a501b26317c952fe5abc
39592606_corr,0134db5adf50c471906cbffa0d2f6a4fcbc0ae01
47010888_corr,d7948ee13698eaa556716b4161202f8690e493ff
49839849_corr,16a65dcd609d48f79a9a271377628fdae5315a62
9766598_corr,f75f16b5cf0fc2e667d79a122190757bfccb0a3d
47010888_corr,b374939320dcba4255a14637d36bbee785a2d860
1398238537_corr,d427db1ba2cc92b36d16a5e5114f1027c90fff68
4047075_corr,7549a6e03afdd42ae94c19235db076319eeb34f8
1804361_corr,ae876b07435880d0359ca68b30af90b2e3193ad4
144668991_corr,45063cf2e0116e700da5ca2863c8bb82ad4d64c2
32267146_corr,e89c22555d5e20a14669522838029c6f49893c57
50378124_corr,f51dfc161c98140d4156e512dd3b4f839cc7f491
40892737_corr,6cc4b0919f14bdcba4d3f1d97b04bd134bfb45c4
9766598_corr,f7a8573d4daa4083419a864ef7a8bf97bc0754e5
9613825_corr,f3b0ca9d0c420e6c6bc24a5e9dd959e8c899b38e
144668991_corr,e7f1640a76bbfdf701e6cd4d81163be2eb97a4de
34533996_corr,42fe18be6e9ff2c11e5b2347c93e131c9abc7a51
3418946_corr,91bd879d3fcbdb851c8442be47e7ee8fa4ef8586
2872113_corr,19c284f50869970a31f45cbec20d2db90aa278e3
1403594377_corr,6b98410fcea56a1d8368fe31384d2cacdcf78fdc
2084117002_corr,f6dc7097c06f58e93209f5cf14913c63dcfe183f
31435894_corr,cdadc2aa758d3abc1f77add07232f21df9287162
3019221_corr,a31b391917fbfc24675fc13a6724fe61460b425a
2982298_corr,416292827584552604807411db7262d7c28257e6
2731035_corr,5685a394b25fcb27b6ad91f7325f2e60a9892e2a
2078490339_corr,9b3f2b73263ce06a6d61ef2ad9df7cce33e171f7
51488437_corr,325bbe2c92072b16645a5cded3b9eda3cb97660b
2064249638_corr,e02acab3e0c44f425705865869f3e51f7998dd24
144668991_corr,02808823641975868e3212fd7ae859514fdbdf32
34580886_corr,c8df841db2bfe68fc7624f004217c0255f385063
2856719_corr,0daa156e7b4168df25733ce58680dd15b539fa50
144668991_corr,262fe2a2b5d1c0fa7feb63f3bf0c1fd81f1b7c80
3246503_corr,acf5fce7472de410985d223d3ce1271a5014d1e7
9106917_corr,45af864f2f9991eb9f9545fdec45ccf2adb5f0fa
39269062_corr,d6b68954d6acddce319de327af65d164bdfc5543
2111034665_corr,71ca3a6c98c8b60117d01f324487ea8bfe34c54b
14886336_corr,342253053f72911edc54df84708f1c1a8db279b6
47539394_corr,f0c9fabba39fb5d471d6bd37f6d1c68811fef48b
2110677374_corr,ae63486b2791b301ea4f31b654579687b2f2f95a
2371988_corr,5b0ade1a2ae06e9d8b51f2d5c424a0cdad847e8a
1772311_corr,575c8ee3782f37dd0e7df8b9f3161ae3e7783b1c
31380655_corr,8f6e3b466c4ecc6e0ff779e58cf1b885c7b09f11
